Developer,Units Available,Price,Maintenance Charges,Project Name,Carpet Area,Parking,City,Property,BHK,Price per Sqft
,1.0,3150000.0,3.0,,375.0,Yes,Thane,1 BHK,1,8400.0
TATA Housing Development Company Ltd.,10.0,6300000.0,3.0,Tata Amantra,579.0,Yes,Thane,2 BHK,2,10880.82901554404
Sai Satyam Developers,0.0,5400000.0,1200.0,Sai Satyam Homes,585.0,Yes,Thane,2 BHK,2,9230.76923076923
Birla Estates,70.0,9000000.0,3200.0,Birla Vanya,815.0,Yes,Thane,2 BHK,2,11042.944785276073
Godrej Properties,,4950000.0,,Godrej Nirvaan,419.0,No,Thane,1 BHK,1,11813.842482100239
Tycoons Group,2.0,6570000.0,2.0,Tycoons Solitaire Sapphire,667.0,Yes,Thane,2 BHK,2,9850.07496251874
,4.0,5500000.0,2000.0,,550.0,No,Thane,2 BHK,2,10000.0
,1.0,4200000.0,1500.0,,585.0,No,Thane,1 BHK,1,7179.48717948718
Godrej Properties,15.0,3449000.0,3.0,Godrej Riviera,370.0,No,Thane,1 BHK,1,9321.621621621622
,,5000000.0,,,430.0,No,Thane,1 BHK,1,11627.906976744185
,25.0,2990000.0,1200.0,,370.0,Yes,Thane,1 BHK,1,8081.081081081081
,25.0,4190000.0,1500.0,,570.0,Yes,Thane,2 BHK,2,7350.877192982456
,1.0,2187500.0,1000.0,,450.0,Yes,Thane,1 BHK,1,4861.111111111111
Gurukrupa Group,0.0,4700000.0,3.0,Guru Atman,462.0,No,Thane,1 BHK,1,10173.160173160173
,10.0,10450000.0,1600.0,,980.0,Yes,Thane,3 BHK,3,10663.265306122448
,,12000000.0,2500.0,,927.0,Yes,Thane,3 BHK,3,12944.983818770226
Gurukrupa Group,3.0,7000000.0,2500.0,Guru Atman,650.0,Yes,Thane,2 BHK,2,10769.23076923077
Rutu Group,7.0,7000000.0,0.0,Riverview Classic,761.0,Yes,Thane,2 BHK,2,9198.423127463864
Ajmera Realty & Infra India Ltd.,1.0,4800000.0,4.0,Ajmera New Era,460.0,No,Thane,1 BHK,1,10434.782608695652
Birla Estates,50.0,9500000.0,4500.0,Birla Vanya,661.0,Yes,Thane,2 BHK,2,14372.163388804842
Ajmera Realty & Infra India Ltd.,10.0,7499000.0,0.0,One Kalyan,709.0,Yes,Thane,2 BHK,2,10576.868829337094
Ajmera Realty & Infra India Ltd.,2.0,4500000.0,2200.0,Ajmera Bliss,450.0,Yes,Thane,1 BHK,1,10000.0
Godrej Properties,23.0,4300000.0,0.0,Godrej Upavan,367.0,Yes,Thane,1 BHK,1,11716.621253405994
Tycoons Group,,3950000.0,1200.0,Tycoons Square,390.0,Yes,Thane,1 BHK,1,10128.205128205129
Raunak Group,,3600000.0,,Raunak Urban Centre,467.0,Yes,Thane,1 BHK,1,7708.779443254818
Vaishnavi Developers,,3580000.0,1000.0,Vaibhavi City,460.0,No,Thane,1 BHK,1,7782.608695652174
,2.0,14796000.0,7000.0,,1385.0,Yes,Thane,3 BHK,3,10683.032490974729
,12.0,4300000.0,3.0,,505.0,Yes,Thane,2 BHK,2,8514.851485148514
,12.0,4185500.0,3.0,,384.0,Yes,Thane,1 BHK,1,10899.739583333334
Tycoons Group,2.0,6570000.0,2.0,Tycoons Solitaire Sapphire,667.0,Yes,Thane,2 BHK,2,9850.07496251874
,4.0,5500000.0,2000.0,,550.0,No,Thane,2 BHK,2,10000.0
,1.0,4200000.0,1500.0,,585.0,No,Thane,1 BHK,1,7179.48717948718
Godrej Properties,15.0,3449000.0,3.0,Godrej Riviera,370.0,No,Thane,1 BHK,1,9321.621621621622
,,5000000.0,,,430.0,No,Thane,1 BHK,1,11627.906976744185
,25.0,2990000.0,1200.0,,370.0,Yes,Thane,1 BHK,1,8081.081081081081
,25.0,4190000.0,1500.0,,570.0,Yes,Thane,2 BHK,2,7350.877192982456
,1.0,2187500.0,1000.0,,450.0,Yes,Thane,1 BHK,1,4861.111111111111
Gurukrupa Group,0.0,4700000.0,3.0,Guru Atman,462.0,No,Thane,1 BHK,1,10173.160173160173
,10.0,10450000.0,1600.0,,980.0,Yes,Thane,3 BHK,3,10663.265306122448
,,12000000.0,2500.0,,927.0,Yes,Thane,3 BHK,3,12944.983818770226
Gurukrupa Group,3.0,7000000.0,2500.0,Guru Atman,650.0,Yes,Thane,2 BHK,2,10769.23076923077
Rutu Group,7.0,7000000.0,0.0,Riverview Classic,761.0,Yes,Thane,2 BHK,2,9198.423127463864
Ajmera Realty & Infra India Ltd.,1.0,4800000.0,4.0,Ajmera New Era,460.0,No,Thane,1 BHK,1,10434.782608695652
Birla Estates,50.0,9500000.0,4500.0,Birla Vanya,661.0,Yes,Thane,2 BHK,2,14372.163388804842
Ajmera Realty & Infra India Ltd.,10.0,7499000.0,0.0,One Kalyan,709.0,Yes,Thane,2 BHK,2,10576.868829337094
