ID,Possession Status,Availability Starts From,Developer,Units Available,Price,Booking Amount,Project Name,Carpet Area,Area Name,Parking,City,Covered Area,Location,Property,Maintenance Charges,Helper Column
7518,Ready to Move,NA, SHREE SAIBABA CONSTRUCTION COMPANY,0,7000000,NA,Ashok Nagar,465,Balkum village,1 Open,Thane,635,"Balkum village, Thane",1 BHK Flat,NA," SHREE SAIBABA CONSTRUCTION COMPANY, Ashok Nagar, Thane, 7000000"
7949,Ready to Move,NA, SHREE SAIBABA CONSTRUCTION COMPANY,NA,7200000,NA,Ashok Nagar,NA,Balkum village,NA,Thane,635,"Balkum village, Thane",1 BHK Flat,NA," SHREE SAIBABA CONSTRUCTION COMPANY, Ashok Nagar, Thane, 7200000"
7185,Ready to Move,NA, SHREE SAIBABA CONSTRUCTION COMPANY,0,7500000,100000,Ashok Nagar,450,Balkum village,1 Open,Thane,495,"Balkum village, Thane",1 BHK Flat,NA," SHREE SAIBABA CONSTRUCTION COMPANY, Ashok Nagar, Thane, 7500000"
7068,Ready to Move,NA, SHREE SAIBABA CONSTRUCTION COMPANY,0,9500000,500000,Ashok Nagar,650,Balkum village,"1 Covered, 1 Open",Thane,890,"Balkum village, Thane",2 BHK Flat,0," SHREE SAIBABA CONSTRUCTION COMPANY, Ashok Nagar, Thane, 9500000"
10092,Ready to Move,NA,A and O Realty,NA,13500000,NA,Atharva,630,Vile Parle West,NA,Mumbai,860,"Vile Parle West, Mumbai",2 BHK Flat,NA,"A and O Realty, Atharva, Mumbai, 13500000"
10066,Ready to Move,NA,A and O Realty,0,46500000,50000,Atharva,1000,Vile Parle West,1 Covered,Mumbai,1450,"Vile Parle West, Mumbai",3 BHK Flat,3000,"A and O Realty, Atharva, Mumbai, 46500000"
497,Ready to Move,NA,A and O Realty,NA,13000000,NA,Bellevue,465,Andheri East,NA,Mumbai,750,"Andheri East, Mumbai",1 BHK Flat,NA,"A and O Realty, Bellevue, Mumbai, 13000000"
11048,Ready to Move,NA,A and O Realty,NA,8900000,NA,Eminente,NA,Dahisar East,NA,Mumbai,381,"Dahisar East, Mumbai",1 BHK Flat,NA,"A and O Realty, Eminente, Mumbai, 8900000"
3101,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,0,16200000,500000,F Residences Malad,729,Malad East,1 Covered,Mumbai,1140,"Malad East, Mumbai",2 BHK Flat,7000,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 16200000"
3575,Under Construction,Dec '23,A&O Realty and Riddhi Siddhi Group,0,17000000,100000,F Residences Malad,716,Malad East,1 Covered,Mumbai,1146,"Malad East, Mumbai",2 BHK Flat,5000,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3457,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,2,17000000,500000,F Residences Malad,829,Malad East,1 Covered,Mumbai,929,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3383,Ready to Move,Aug '22,A&O Realty and Riddhi Siddhi Group,3,17000000,1000000,F Residences Malad,729,Malad East,NA,Mumbai,875,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3275,Under Construction,Dec '23,A&O Realty and Riddhi Siddhi Group,0,17000000,100000,F Residences Malad,716,Malad East,1 Covered,Mumbai,1146,"Malad East, Mumbai",2 BHK Flat,5000,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3157,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,2,17000000,500000,F Residences Malad,829,Malad East,1 Covered,Mumbai,929,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3083,Ready to Move,Aug '22,A&O Realty and Riddhi Siddhi Group,3,17000000,1000000,F Residences Malad,729,Malad East,NA,Mumbai,875,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17000000"
3658,Ready to Move,Jun '22,A&O Realty and Riddhi Siddhi Group,NA,17500000,100000,F Residences Malad,825,Malad East,NA,Mumbai,1105,"Malad East, Mumbai",2 BHK Flat,NA,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17500000"
3570,Ready to Move,Jun '22,A&O Realty and Riddhi Siddhi Group,1,17500000,NA,F Residences Malad,729,Malad East,107 Covered,Mumbai,NA,"Malad East, Mumbai",2 BHK Flat,NA,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17500000"
3358,Ready to Move,Jun '22,A&O Realty and Riddhi Siddhi Group,NA,17500000,100000,F Residences Malad,825,Malad East,NA,Mumbai,1105,"Malad East, Mumbai",2 BHK Flat,NA,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17500000"
3270,Ready to Move,Jun '22,A&O Realty and Riddhi Siddhi Group,1,17500000,NA,F Residences Malad,729,Malad East,107 Covered,Mumbai,NA,"Malad East, Mumbai",2 BHK Flat,NA,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17500000"
3472,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,0,17800000,100000,F Residences Malad,711,Malad East,1 Covered,Mumbai,1150,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17800000"
3172,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,0,17800000,100000,F Residences Malad,711,Malad East,1 Covered,Mumbai,1150,"Malad East, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 17800000"
3481,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,0,18500000,500000,F Residences Malad,729,Malad East,1 Covered,Mumbai,1240,"Malad East, Mumbai",2 BHK Flat,4500,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 18500000"
3350,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,5,18500000,500000,F Residences Malad,729,Malad East,1 Covered,Mumbai,1240,"Malad East, Mumbai",2 BHK Flat,8500,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 18500000"
3181,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,0,18500000,500000,F Residences Malad,729,Malad East,1 Covered,Mumbai,1240,"Malad East, Mumbai",2 BHK Flat,4500,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 18500000"
3540,Ready to Move,NA,A&O Realty and Riddhi Siddhi Group,8,18800000,100000,F Residences Malad,729,Kurar Village,1 Covered,Mumbai,1240,"Kurar Village, Mumbai",2 BHK Flat,0,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 18800000"
3440,Ready to Move,Dec '22,A&O Realty and Riddhi Siddhi Group,6,18900000,500000,F Residences Malad,729,Malad East,1 Covered,Mumbai,1240,"Malad East, Mumbai",2 BHK Flat,7800,"A&O Realty and Riddhi Siddhi Group, F Residences Malad, Mumbai, 18900000"
